client_id,campaign,pdays,previous,poutcome,outcome
1,2,40,0,nonexistent,no
2,4,7,1,nonexistent,no
3,0,96,1,nonexistent,no
4,9,70,0,nonexistent,no
5,8,81,1,nonexistent,no
6,1,197,0,failure,no
7,6,189,1,nonexistent,no
8,0,136,0,nonexistent,no
9,1,231,1,failure,no
10,7,215,0,nonexistent,no
11,8,212,1,nonexistent,no
12,7,3,1,nonexistent,no
13,3,140,0,nonexistent,no
14,8,174,1,nonexistent,no
15,9,87,0,nonexistent,no
16,7,125,1,nonexistent,no
17,8,200,0,nonexistent,no
18,7,143,1,nonexistent,no
19,4,41,1,nonexistent,no
20,5,91,1,nonexistent,yes
21,4,43,1,nonexistent,no
22,9,164,1,success,yes
23,5,128,1,nonexistent,no
24,2,199,0,nonexistent,no
25,2,150,0,nonexistent,no
26,0,138,0,nonexistent,yes
27,9,50,0,nonexistent,no
28,2,173,0,failure,no
29,6,148,0,nonexistent,no
30,3,231,1,nonexistent,no
31,6,155,0,failure,no
32,4,65,1,nonexistent,no
33,3,47,0,nonexistent,no
34,5,133,1,nonexistent,no
35,0,109,1,nonexistent,no
36,2,83,1,nonexistent,no
37,4,9,0,nonexistent,no
38,1,226,0,nonexistent,no
39,0,124,0,failure,no
40,0,172,0,failure,no
41,4,156,1,nonexistent,no
42,8,99,1,nonexistent,no
43,3,29,1,failure,no
44,7,254,1,nonexistent,no
45,0,78,0,nonexistent,no
46,8,71,0,nonexistent,no
47,1,132,0,nonexistent,no
48,1,105,0,nonexistent,no
49,0,155,0,nonexistent,no
50,3,214,1,nonexistent,no
51,9,29,1,failure,no
52,6,178,0,nonexistent,no
53,9,11,0,nonexistent,no
54,7,192,1,success,yes
55,0,138,0,nonexistent,no
56,2,212,1,nonexistent,no
57,3,115,1,nonexistent,no
58,6,235,0,nonexistent,no
59,1,152,1,nonexistent,no
60,1,21,1,failure,yes
61,8,206,0,failure,no
62,5,235,0,nonexistent,no
63,2,229,1,success,yes
64,7,88,1,nonexistent,no
65,7,173,0,nonexistent,no
66,8,110,1,nonexistent,no
67,7,26,0,nonexistent,no
68,0,241,0,nonexistent,no
69,3,246,0,success,yes
70,3,143,0,failure,no
71,6,143,0,nonexistent,yes
72,3,224,0,nonexistent,yes
73,6,216,0,nonexistent,no
74,6,192,1,nonexistent,no
75,3,214,0,nonexistent,yes
76,8,196,1,nonexistent,no
77,8,95,1,nonexistent,no
78,9,123,0,nonexistent,no
79,9,127,1,nonexistent,no
80,4,149,1,nonexistent,no
81,4,230,0,nonexistent,no
82,0,138,0,nonexistent,no
