job_id,client_id,job,salary
J1,1,blue-collar,$165k
J2,2,services,$185k
J3,3,services,$65k
J4,4,services,$285k
J5,5,admin.,$35k
J6,6,services,$145k
J7,7,admin.,$45k
J8,8,entrepreneur,$165k
J9,9,services,$65k
J10,10,blue-collar,$85k
J11,11,services,$285k
J12,12,self-employed,$125k
J13,13,admin.,$55k
J14,14,blue-collar,$65k
J15,15,admin.,$185k
J16,16,services,$95k
J17,17,admin.,$215k
J18,18,admin.,$85k
J19,19,entrepreneur,$285k
J20,20,blue-collar,$85k
J21,21,services,$85k
J22,22,technician,$245k
J23,23,technician,$95k
J24,24,management,$285k
J25,25,technician,$55k
J26,26,technician,$85k
J27,27,technician,$105k
J28,28,blue-collar,$285k
J29,29,admin.,$165k
J30,30,admin.,$35k
J31,31,technician,$65k
J32,32,services,$95k
J33,33,technician,$105k
J34,34,blue-collar,$45k
J35,35,technician,$65k
J36,36,blue-collar,$95k
J37,37,blue-collar,$85k
J38,38,management,$85k
J39,39,technician,$215k
J40,40,student,$55k
J41,41,services,$85k
J42,42,blue-collar,$165k
J43,43,retired,$85k
J44,44,entrepreneur,$65k
J45,45,housemaid,$245k
J46,46,management,$55k
J47,47,admin.,$165k
J48,48,admin.,$125k
J49,49,services,$165k
J50,50,services,$65k
J51,51,retired,$285k
J52,52,blue-collar,$215k
J53,53,management,$145k
J54,54,technician,$85k
J55,55,admin.,$75k
J56,56,entrepreneur,$125k
J57,57,admin.,$285k
J58,58,admin.,$145k
J59,59,admin.,$85k
J60,60,admin.,$35k
J61,61,entrepreneur,$55k
J62,62,blue-collar,$145k
J63,63,admin.,$95k
J64,64,services,$95k
J65,65,blue-collar,$75k
J66,66,admin.,$245k
J67,67,technician,$185k
J68,68,services,$285k
J69,69,blue-collar,$95k
J70,70,self-employed,$95k
J71,71,technician,$95k
J72,72,services,$35k
J73,73,admin.,$215k
J74,74,management,$35k
J75,75,technician,$125k
J76,76,admin.,$145k
J77,77,admin.,$125k
J78,78,self-employed,$45k
J79,79,unemployed,$125k
J80,80,technician,$125k
J81,81,technician,$125k
J82,82,admin.,$285k
J83,83,services,$185k
J84,84,retired,$35k
J85,85,entrepreneur,$75k
J86,86,admin.,$125k
J87,87,unemployed,$85k
J88,88,services,$35k
J89,89,admin.,$215k
J90,90,blue-collar,$215k
J91,91,unemployed,$95k
J92,92,blue-collar,$45k
J93,93,blue-collar,$35k
J94,94,self-employed,$95k
J95,95,blue-collar,$215k
J96,96,management,$145k
J97,97,retired,$125k
J98,98,technician,$105k
J99,99,management,$125k
J100,100,admin.,$185k
J101,101,management,$125k
J102,102,admin.,$165k
J103,103,services,$285k
J104,104,admin.,$55k
J105,105,services,$185k
J106,106,services,$35k
J107,107,entrepreneur,$165k
J108,108,blue-collar,$75k
J109,109,blue-collar,$285k
J110,110,management,$35k
J111,111,admin.,$105k
J112,112,blue-collar,$285k
J113,113,blue-collar,$125k
J114,114,management,$35k
J115,115,admin.,$165k
J116,116,entrepreneur,$95k
J117,117,management,$85k
J118,118,services,$215k
J119,119,blue-collar,$185k
J120,120,retired,$65k
J121,121,self-employed,$85k
J122,122,blue-collar,$85k
J123,123,services,$105k
J124,124,blue-collar,$245k
J125,125,entrepreneur,$105k
J126,126,technician,$95k
J127,127,blue-collar,$35k
J128,128,admin.,$285k
J129,129,retired,$185k
J130,130,self-employed,$215k
J131,131,management,$285k
J132,132,management,$45k
J133,133,admin.,$55k
J134,134,services,$95k
J135,135,technician,$95k
J136,136,retired,$285k
J137,137,admin.,$245k
J138,138,admin.,$105k
J139,139,technician,$95k
J140,140,blue-collar,$95k
J141,141,technician,$35k
J142,142,technician,$65k
J143,143,admin.,$55k
J144,144,technician,$215k
J145,145,services,$35k
J146,146,blue-collar,$65k
J147,147,services,$165k
J148,148,technician,$185k
J149,149,unknown,$285k
J150,150,admin.,$45k
J151,151,housemaid,$85k
J152,152,blue-collar,$65k
J153,153,admin.,$55k
J154,154,unemployed,$35k
J155,155,technician,$165k
J156,156,blue-collar,$215k
J157,157,blue-collar,$145k
J158,158,services,$285k
J159,159,technician,$45k
J160,160,admin.,$165k
J161,161,unemployed,$55k
J162,162,admin.,$185k
J163,163,admin.,$185k
J164,164,admin.,$75k
J165,165,services,$65k
J166,166,admin.,$165k
J167,167,admin.,$215k
J168,168,blue-collar,$95k
J169,169,services,$45k
J170,170,admin.,$65k
J171,171,blue-collar,$145k
J172,172,admin.,$125k
J173,173,services,$95k
J174,174,services,$65k
J175,175,technician,$105k
J176,176,technician,$45k
J177,177,blue-collar,$45k
J178,178,retired,$85k
J179,179,admin.,$85k
J180,180,blue-collar,$145k
J181,181,management,$165k
J182,182,entrepreneur,$185k
J183,183,technician,$65k
J184,184,management,$35k
J185,185,retired,$45k
J186,186,management,$185k
J187,187,admin.,$85k
J188,188,blue-collar,$165k
J189,189,self-employed,$285k
J190,190,blue-collar,$185k
J191,191,blue-collar,$185k
J192,192,housemaid,$285k
J193,193,technician,$215k
J194,194,services,$215k
J195,195,blue-collar,$145k
J196,196,blue-collar,$35k
J197,197,blue-collar,$215k
J198,198,technician,$35k
J199,199,technician,$65k
J200,200,student,$125k
J201,201,student,$45k
J202,202,admin.,$85k
J203,203,self-employed,$55k
J204,204,services,$245k
J205,205,admin.,$55k
J206,206,blue-collar,$45k
J207,207,management,$125k
J208,208,management,$65k
J209,209,services,$185k
J210,210,blue-collar,$215k
J211,211,entrepreneur,$285k
J212,212,services,$215k
J213,213,technician,$125k
J214,214,blue-collar,$185k
J215,215,admin.,$85k
J216,216,services,$75k
J217,217,management,$65k
J218,218,admin.,$45k
J219,219,blue-collar,$165k
J220,220,retired,$65k
J221,221,student,$245k
J222,222,entrepreneur,$45k
J223,223,admin.,$85k
J224,224,management,$85k
J225,225,blue-collar,$35k
J226,226,technician,$95k
J227,227,retired,$145k
J228,228,blue-collar,$285k
J229,229,retired,$145k
J230,230,unknown,$145k
J231,231,blue-collar,$95k
J232,232,services,$55k
J233,233,unemployed,$85k
J234,234,admin.,$105k
J235,235,retired,$105k
J236,236,blue-collar,$285k
J237,237,blue-collar,$105k
J238,238,services,$95k
J239,239,services,$55k
J240,240,unknown,$165k
J241,241,blue-collar,$165k
J242,242,technician,$245k
J243,243,services,$55k
J244,244,management,$105k
J245,245,technician,$35k
J246,246,blue-collar,$215k
J247,247,housemaid,$75k
J248,248,admin.,$185k
J249,249,self-employed,$285k
J250,250,admin.,$165k
J251,251,admin.,$105k
J252,252,admin.,$105k
J253,253,technician,$145k
J254,254,management,$245k
J255,255,technician,$165k
J256,256,management,$45k
J257,257,admin.,$75k
J258,258,blue-collar,$105k
J259,259,admin.,$45k
J260,260,self-employed,$75k
J261,261,technician,$185k
J262,262,technician,$35k
J263,263,admin.,$125k
J264,264,blue-collar,$85k
J265,265,admin.,$185k
J266,266,services,$145k
J267,267,unemployed,$245k
J268,268,unemployed,$285k
J269,269,blue-collar,$55k
J270,270,housemaid,$85k
J271,271,admin.,$125k
J272,272,blue-collar,$125k
J273,273,retired,$55k
J274,274,services,$185k
J275,275,technician,$105k
J276,276,services,$165k
J277,277,blue-collar,$55k
J278,278,admin.,$65k
J279,279,student,$215k
J280,280,entrepreneur,$105k
J281,281,blue-collar,$105k
J282,282,management,$75k
J283,283,self-employed,$145k
J284,284,self-employed,$285k
J285,285,technician,$55k
J286,286,housemaid,$75k
J287,287,blue-collar,$165k
J288,288,blue-collar,$75k
J289,289,technician,$75k
J290,290,blue-collar,$95k
J291,291,blue-collar,$95k
J292,292,admin.,$185k
J293,293,technician,$55k
J294,294,management,$75k
J295,295,blue-collar,$65k
J296,296,management,$95k
J297,297,admin.,$145k
J298,298,blue-collar,$55k
J299,299,technician,$215k
J300,300,unemployed,$95k
J301,301,technician,$125k
J302,302,entrepreneur,$45k
J303,303,retired,$285k
J304,304,admin.,$125k
J305,305,self-employed,$85k
J306,306,blue-collar,$215k
J307,307,blue-collar,$35k
J308,308,admin.,$215k
J309,309,blue-collar,$85k
J310,310,admin.,$55k
J311,311,admin.,$245k
J312,312,admin.,$285k
J313,313,technician,$95k
J314,314,admin.,$245k
J315,315,retired,$75k
J316,316,admin.,$185k
J317,317,blue-collar,$75k
J318,318,admin.,$125k
J319,319,admin.,$215k
J320,320,entrepreneur,$85k
J321,321,blue-collar,$215k
J322,322,housemaid,$55k
J323,323,admin.,$45k
J324,324,services,$75k
J325,325,blue-collar,$105k
J326,326,admin.,$215k
J327,327,admin.,$285k
J328,328,technician,$145k
J329,329,services,$125k
J330,330,admin.,$215k
J331,331,admin.,$285k
J332,332,self-employed,$55k
J333,333,entrepreneur,$185k
J334,334,management,$55k
J335,335,blue-collar,$105k
J336,336,entrepreneur,$165k
J337,337,admin.,$45k
J338,338,unemployed,$45k
J339,339,retired,$95k
J340,340,technician,$215k
J341,341,admin.,$165k
J342,342,technician,$215k
J343,343,services,$45k
J344,344,services,$125k
J345,345,unknown,$215k
J346,346,blue-collar,$245k
J347,347,self-employed,$105k
J348,348,blue-collar,$85k
J349,349,blue-collar,$35k
J350,350,admin.,$285k
J351,351,admin.,$35k
J352,352,technician,$95k
J353,353,admin.,$55k
J354,354,technician,$45k
J355,355,unknown,$35k
J356,356,entrepreneur,$125k
J357,357,services,$245k
J358,358,admin.,$215k
J359,359,admin.,$55k
J360,360,services,$55k
J361,361,admin.,$215k
J362,362,blue-collar,$145k
J363,363,unemployed,$215k
J364,364,services,$85k
J365,365,technician,$165k
J366,366,blue-collar,$185k
J367,367,admin.,$95k
J368,368,management,$215k
J369,369,management,$215k
J370,370,blue-collar,$105k
J371,371,admin.,$95k
J372,372,services,$285k
J373,373,unemployed,$55k
J374,374,blue-collar,$215k
J375,375,management,$95k
J376,376,technician,$125k
J377,377,entrepreneur,$145k
J378,378,blue-collar,$65k
J379,379,admin.,$75k
J380,380,admin.,$105k
J381,381,blue-collar,$95k
J382,382,unemployed,$185k
J383,383,admin.,$215k
J384,384,services,$65k
J385,385,admin.,$245k
J386,386,unemployed,$65k
J387,387,services,$245k
J388,388,technician,$245k
J389,389,admin.,$85k
J390,390,admin.,$145k
J391,391,management,$45k
J392,392,technician,$105k
J393,393,self-employed,$285k
J394,394,technician,$145k
J395,395,admin.,$125k
J396,396,admin.,$65k
J397,397,blue-collar,$75k
J398,398,admin.,$75k
J399,399,self-employed,$185k
J400,400,admin.,$105k
J401,401,management,$85k
J402,402,self-employed,$105k
J403,403,technician,$245k
J404,404,admin.,$185k
J405,405,technician,$85k
J406,406,retired,$285k
J407,407,blue-collar,$35k
J408,408,technician,$35k
J409,409,technician,$285k
J410,410,entrepreneur,$285k
J411,411,blue-collar,$95k
J412,412,blue-collar,$245k
J413,413,blue-collar,$95k
J414,414,admin.,$55k
J415,415,blue-collar,$95k
J416,416,admin.,$55k
J417,417,blue-collar,$215k
J418,418,technician,$45k
J419,419,technician,$55k
J420,420,management,$285k
J421,421,blue-collar,$215k
J422,422,admin.,$125k
J423,423,technician,$185k
J424,424,student,$215k
J425,425,management,$105k
J426,426,blue-collar,$285k
J427,427,admin.,$95k
J428,428,technician,$65k
J429,429,admin.,$35k
J430,430,blue-collar,$215k
J431,431,blue-collar,$125k
J432,432,blue-collar,$145k
J433,433,entrepreneur,$245k
J434,434,admin.,$285k
J435,435,admin.,$45k
J436,436,admin.,$215k
J437,437,management,$125k
J438,438,self-employed,$125k
J439,439,blue-collar,$215k
J440,440,student,$75k
J441,441,management,$145k
