loan_id,client_id,credit_default,housing_loan,personal_loan,credit_score
1L220001,1,no,yes,no,623
1L220002,2,no,no,no,605
1L220003,3,no,yes,no,582
1L220004,4,no,unknown,unknown,630
1L220005,5,no,yes,no,658
1L220006,6,no,no,no,737
1L220007,7,no,yes,no,452
1L220008,8,unknown,yes,no,639
1L220009,9,no,no,no,781
1L220010,10,unknown,no,no,490
1L220011,11,unknown,yes,no,598
1L220012,12,no,no,no,612
1L220013,13,no,no,no,839
1L220014,14,no,yes,no,523
1L220015,15,no,no,no,316
1L220016,16,no,no,no,589
1L220017,17,no,no,no,385
1L220018,18,no,yes,no,825
1L220019,19,unknown,yes,yes,341
1L220020,20,no,no,yes,675
1L220021,21,unknown,yes,no,541
1L220022,22,no,no,no,774
1L220023,23,no,yes,yes,841
1L220024,24,no,no,yes,452
1L220025,25,unknown,yes,no,650
1L220026,26,no,yes,no,662
1L220027,27,no,no,no,599
1L220028,28,unknown,no,no,686
1L220029,29,unknown,no,no,817
1L220030,30,no,no,no,715
1L220031,31,no,yes,yes,351
1L220032,32,unknown,yes,no,445
1L220033,33,no,no,no,611
1L220034,34,unknown,yes,no,302
1L220035,35,no,no,no,523
1L220036,36,no,yes,no,525
1L220037,37,no,yes,no,565
1L220038,38,no,no,no,394
1L220039,39,no,yes,no,778
1L220040,40,no,no,no,668
1L220041,41,unknown,yes,no,755
1L220042,42,unknown,unknown,unknown,811
1L220043,43,no,no,no,324
1L220044,44,no,yes,no,668
1L220045,45,no,yes,yes,634
1L220046,46,unknown,no,no,813
1L220047,47,no,no,no,575
1L220048,48,no,no,no,382
1L220049,49,no,no,no,806
1L220050,50,no,no,yes,617
1L220051,51,no,yes,no,443
1L220052,52,no,yes,no,849
1L220053,53,no,no,no,485
1L220054,54,no,yes,yes,504
1L220055,55,no,yes,no,544
1L220056,56,no,no,no,849
1L220057,57,no,yes,no,355
1L220058,58,no,yes,no,640
1L220059,59,no,no,no,671
1L220060,60,no,yes,no,653
1L220061,61,no,yes,yes,509
1L220062,62,no,yes,no,823
1L220063,63,no,yes,no,823
1L220064,64,no,yes,no,471
1L220065,65,no,yes,no,403
1L220066,66,no,yes,no,447
1L220067,67,no,yes,yes,536
1L220068,68,no,no,yes,567
1L220069,69,no,no,no,735
1L220070,70,no,no,no,628
1L220071,71,unknown,no,no,456
1L220072,72,unknown,yes,no,620
1L220073,73,no,yes,no,752
1L220074,74,no,yes,no,610
1L220075,75,no,yes,yes,542
1L220076,76,no,yes,no,516
1L220077,77,no,yes,no,817
1L220078,78,no,no,no,614
1L220079,79,no,no,no,627
1L220080,80,no,no,no,704
1L220081,81,unknown,yes,no,572
1L220082,82,no,yes,no,792
1L220083,83,unknown,no,no,724
1L220084,84,no,yes,no,575
1L220085,85,no,yes,no,656
1L220086,86,no,yes,no,626
1L220087,87,no,yes,yes,448
1L220088,88,no,unknown,unknown,362
1L220089,89,no,no,no,540
1L220090,90,no,yes,no,535
1L220091,91,no,yes,no,486
1L220092,92,no,no,no,596
1L220093,93,unknown,no,no,563
1L220094,94,no,yes,no,849
1L220095,95,no,yes,no,699
1L220096,96,no,no,no,477
1L220097,97,unknown,no,no,530
1L220098,98,no,yes,no,358
1L220099,99,no,no,no,480
1L220100,100,no,no,no,367
1L220101,101,unknown,no,yes,648
1L220102,102,unknown,yes,no,814
1L220103,103,no,yes,yes,768
1L220104,104,no,yes,no,371
1L220105,105,no,yes,no,401
1L220106,106,unknown,yes,no,342
1L220107,107,no,no,no,838
1L220108,108,no,yes,no,446
1L220109,109,no,no,no,537
1L220110,110,no,yes,no,830
1L220111,111,no,yes,yes,423
1L220112,112,unknown,yes,yes,380
1L220113,113,no,yes,no,711
1L220114,114,no,yes,yes,567
1L220115,115,no,no,no,516
1L220116,116,no,yes,no,328
1L220117,117,no,yes,no,450
1L220118,118,unknown,no,no,699
1L220119,119,no,no,yes,441
1L220120,120,no,no,yes,717
1L220121,121,no,yes,no,708
1L220122,122,no,yes,no,320
1L220123,123,no,no,no,336
1L220124,124,no,yes,yes,707
1L220125,125,unknown,no,yes,740
1L220126,126,unknown,no,no,578
1L220127,127,no,yes,no,401
1L220128,128,unknown,yes,no,372
1L220129,129,no,no,no,611
1L220130,130,no,no,no,734
1L220131,131,no,no,yes,302
1L220132,132,no,yes,no,749
1L220133,133,no,no,no,461
1L220134,134,no,yes,no,796
1L220135,135,no,yes,no,745
1L220136,136,no,yes,no,697
1L220137,137,no,no,yes,746
1L220138,138,no,no,no,744
1L220139,139,no,no,no,589
1L220140,140,no,no,no,608
1L220141,141,no,yes,yes,321
1L220142,142,no,yes,no,841
1L220143,143,no,yes,no,490
1L220144,144,no,yes,no,440
1L220145,145,no,yes,no,724
1L220146,146,no,yes,no,510
1L220147,147,no,no,yes,816
1L220148,148,unknown,no,yes,776
1L220149,149,no,no,yes,384
1L220150,150,no,yes,no,470
1L220151,151,no,no,no,804
1L220152,152,no,yes,no,642
1L220153,153,unknown,yes,no,633
1L220154,154,no,yes,no,353
1L220155,155,no,yes,no,692
1L220156,156,no,yes,no,794
1L220157,157,no,no,no,786
1L220158,158,no,yes,no,322
1L220159,159,no,no,no,599
1L220160,160,no,yes,yes,770
1L220161,161,no,yes,no,482
1L220162,162,no,yes,no,566
1L220163,163,no,no,no,488
1L220164,164,no,no,no,508
1L220165,165,unknown,no,no,518
1L220166,166,no,yes,no,771
1L220167,167,no,yes,no,368
1L220168,168,unknown,no,no,844
1L220169,169,no,yes,no,597
1L220170,170,no,yes,yes,437
1L220171,171,no,no,no,416
1L220172,172,no,yes,no,563
1L220173,173,unknown,no,no,824
1L220174,174,unknown,unknown,unknown,606
1L220175,175,no,no,no,409
1L220176,176,no,yes,no,350
1L220177,177,no,yes,yes,586
1L220178,178,no,yes,no,352
1L220179,179,no,no,no,328
1L220180,180,no,no,no,427
1L220181,181,no,yes,yes,746
1L220182,182,no,yes,no,537
1L220183,183,no,yes,no,776
1L220184,184,unknown,yes,no,479
1L220185,185,no,no,no,341
1L220186,186,no,yes,no,819
1L220187,187,no,yes,no,589
1L220188,188,no,yes,no,318
1L220189,189,no,no,no,630
1L220190,190,no,no,no,456
1L220191,191,no,no,no,466
1L220192,192,unknown,yes,no,837
1L220193,193,unknown,yes,no,528
1L220194,194,no,no,no,798
1L220195,195,no,yes,no,308
1L220196,196,no,no,no,808
1L220197,197,no,yes,yes,478
1L220198,198,no,no,no,385
1L220199,199,no,yes,no,738
1L220200,200,no,no,no,352
1L220201,201,no,no,no,489
1L220202,202,unknown,no,no,349
1L220203,203,no,yes,no,634
1L220204,204,no,no,no,785
1L220205,205,no,yes,no,654
1L220206,206,unknown,yes,no,400
1L220207,207,no,yes,no,550
1L220208,208,no,yes,no,558
1L220209,209,no,yes,no,787
1L220210,210,no,no,no,794
1L220211,211,unknown,yes,no,722
1L220212,212,unknown,yes,no,411
1L220213,213,no,no,no,604
1L220214,214,no,yes,no,721
1L220215,215,no,no,no,793
1L220216,216,no,no,no,353
1L220217,217,unknown,yes,yes,802
1L220218,218,no,yes,no,756
1L220219,219,unknown,no,no,420
1L220220,220,unknown,no,no,357
1L220221,221,no,no,yes,328
1L220222,222,no,no,yes,643
1L220223,223,unknown,no,no,303
1L220224,224,unknown,no,no,626
1L220225,225,no,no,no,813
1L220226,226,no,yes,no,436
1L220227,227,no,no,no,316
1L220228,228,no,yes,no,446
1L220229,229,no,no,no,466
1L220230,230,unknown,yes,no,335
1L220231,231,no,no,no,525
1L220232,232,unknown,no,no,518
1L220233,233,no,no,no,429
1L220234,234,no,yes,no,749
1L220235,235,no,yes,no,822
1L220236,236,no,yes,no,381
1L220237,237,no,yes,no,482
1L220238,238,unknown,yes,no,602
1L220239,239,no,no,no,352
1L220240,240,no,no,yes,845
1L220241,241,unknown,no,no,307
1L220242,242,no,no,no,490
1L220243,243,unknown,no,no,731
1L220244,244,no,no,no,660
1L220245,245,no,yes,no,312
1L220246,246,unknown,yes,no,469
1L220247,247,no,no,no,633
1L220248,248,no,no,no,642
1L220249,249,no,yes,yes,365
1L220250,250,no,no,no,612
1L220251,251,no,yes,no,832
1L220252,252,no,yes,no,356
1L220253,253,no,no,no,684
1L220254,254,no,no,no,715
1L220255,255,no,yes,yes,792
1L220256,256,no,yes,yes,820
1L220257,257,no,no,no,733
1L220258,258,unknown,yes,no,506
1L220259,259,no,yes,no,847
1L220260,260,no,yes,yes,796
1L220261,261,no,no,no,563
1L220262,262,no,yes,no,542
1L220263,263,no,no,no,651
1L220264,264,no,yes,no,583
1L220265,265,unknown,yes,no,449
1L220266,266,unknown,no,no,635
1L220267,267,no,no,no,424
1L220268,268,no,yes,no,847
1L220269,269,no,no,no,695
1L220270,270,no,no,no,679
1L220271,271,no,no,no,735
1L220272,272,unknown,yes,yes,657
1L220273,273,no,no,no,816
1L220274,274,no,no,no,577
1L220275,275,no,yes,yes,424
1L220276,276,unknown,yes,no,496
1L220277,277,unknown,no,no,792
1L220278,278,no,yes,no,775
1L220279,279,no,yes,no,370
1L220280,280,no,yes,no,387
1L220281,281,unknown,yes,no,352
1L220282,282,unknown,yes,yes,799
1L220283,283,no,no,no,423
1L220284,284,no,no,no,454
1L220285,285,no,yes,no,499
1L220286,286,unknown,yes,yes,354
1L220287,287,no,yes,yes,488
1L220288,288,no,no,no,760
1L220289,289,no,no,no,487
1L220290,290,unknown,no,no,578
1L220291,291,no,no,no,384
1L220292,292,no,no,no,599
1L220293,293,no,yes,no,473
1L220294,294,no,yes,no,774
1L220295,295,unknown,yes,no,688
1L220296,296,no,yes,no,499
1L220297,297,no,yes,yes,453
1L220298,298,no,yes,no,391
1L220299,299,unknown,no,no,714
1L220300,300,no,yes,no,838
1L220301,301,no,no,no,706
1L220302,302,no,yes,yes,576
1L220303,303,no,no,no,301
1L220304,304,unknown,yes,no,495
1L220305,305,no,no,no,316
