client_id,emp_var_rate,cons_price_idx,cons_conf_idx,euribor_3m,num_of_emp,salary,job_id
1,-1.8,92.893,-46.2,1.313,5099.1,$165k,J1
2,1.1,93.994,-36.4,4.855,5191,$185k,J2
3,1.4,94.465,-41.8,4.962,5228.1,$65k,J3
4,1.4,94.465,-41.8,4.959,5228.1,$285k,J4
5,-0.1,93.2,-42,4.191,5195.8,$35k,J5
6,-1.1,94.199,-37.5,0.884,4963.6,$145k,J6
7,-1.1,94.199,-37.5,0.879,4963.6,$45k,J7
8,-0.1,93.2,-42,4.191,5195.8,$165k,J8
9,-0.1,93.2,-42,4.153,5195.8,$65k,J9
10,1.1,93.994,-36.4,4.855,5191,$85k,J10
11,1.4,93.918,-42.7,4.958,5228.1,$285k,J11
12,1.4,93.918,-42.7,4.968,5228.1,$125k,J12
13,1.1,93.994,-36.4,4.859,5191,$55k,J13
14,1.4,94.465,-41.8,4.958,5228.1,$65k,J14
15,-1.8,92.893,-46.2,1.313,5099.1,$185k,J15
16,1.4,93.918,-42.7,4.963,5228.1,$95k,J16
17,1.4,93.918,-42.7,4.957,5228.1,$215k,J17
18,1.4,93.918,-42.7,4.962,5228.1,$85k,J18
19,1.4,93.444,-36.1,4.965,5228.1,$285k,J19
20,1.4,93.918,-42.7,4.961,5228.1,$85k,J20
21,1.4,93.918,-42.7,4.962,5228.1,$85k,J21
22,-1.8,93.369,-34.8,0.639,5008.7,$245k,J22
23,1.4,93.444,-36.1,4.967,5228.1,$95k,J23
24,1.4,93.444,-36.1,4.965,5228.1,$285k,J24
25,1.1,93.994,-36.4,4.864,5191,$55k,J25
26,1.4,93.444,-36.1,4.965,5228.1,$85k,J26
27,1.1,93.994,-36.4,4.856,5191,$105k,J27
28,-1.8,92.893,-46.2,1.299,5099.1,$285k,J28
29,1.1,93.994,-36.4,4.86,5191,$165k,J29
30,1.4,93.444,-36.1,4.963,5228.1,$35k,J30
31,-1.8,92.843,-50,1.687,5099.1,$65k,J31
32,1.4,94.465,-41.8,4.865,5228.1,$95k,J32
33,-2.9,92.963,-40.8,1.268,5076.2,$105k,J33
34,1.4,94.465,-41.8,4.864,5228.1,$45k,J34
35,1.4,93.444,-36.1,4.962,5228.1,$65k,J35
36,1.4,94.465,-41.8,4.864,5228.1,$95k,J36
37,1.1,93.994,-36.4,4.859,5191,$85k,J37
38,-0.1,93.2,-42,4.12,5195.8,$85k,J38
39,-1.8,92.893,-46.2,1.334,5099.1,$215k,J39
40,-1.1,94.601,-49.5,0.977,4963.6,$55k,J40
41,-1.8,92.893,-46.2,1.344,5099.1,$85k,J41
42,1.4,94.465,-41.8,4.967,5228.1,$165k,J42
43,-1.7,94.027,-38.3,0.899,4991.6,$85k,J43
44,1.4,93.918,-42.7,4.961,5228.1,$65k,J44
45,-1.8,92.893,-46.2,1.313,5099.1,$245k,J45
46,-1.8,92.893,-46.2,1.327,5099.1,$55k,J46
47,-0.1,93.2,-42,4.592,5195.8,$165k,J47
48,-1.8,92.893,-46.2,1.299,5099.1,$125k,J48
49,1.4,93.444,-36.1,4.97,5228.1,$165k,J49
50,1.4,93.918,-42.7,4.957,5228.1,$65k,J50
51,-2.9,92.963,-40.8,1.26,5076.2,$285k,J51
52,-1.8,92.893,-46.2,1.327,5099.1,$215k,J52
53,1.4,93.444,-36.1,4.966,5228.1,$145k,J53
54,-3.4,92.379,-29.8,0.77,5017.5,$85k,J54
55,-1.8,92.893,-46.2,1.327,5099.1,$75k,J55
56,1.4,94.465,-41.8,4.866,5228.1,$125k,J56
57,1.4,94.465,-41.8,4.959,5228.1,$285k,J57
58,1.4,93.444,-36.1,4.964,5228.1,$145k,J58
59,1.1,93.994,-36.4,4.857,5191,$85k,J59
60,-1.1,94.199,-37.5,0.886,4963.6,$35k,J60
61,-3.4,92.431,-26.9,0.739,5017.5,$55k,J61
62,-1.8,92.893,-46.2,1.334,5099.1,$145k,J62
63,-1.8,93.749,-34.6,0.654,5008.7,$95k,J63
64,-1.8,93.075,-47.1,1.405,5099.1,$95k,J64
65,-1.8,92.893,-46.2,1.281,5099.1,$75k,J65
66,1.4,93.918,-42.7,4.96,5228.1,$245k,J66
67,-3.4,92.431,-26.9,0.754,5017.5,$185k,J67
68,1.4,94.465,-41.8,4.865,5228.1,$285k,J68
69,-0.1,93.2,-42,4.191,5195.8,$95k,J69
70,-1.8,92.893,-46.2,1.313,5099.1,$95k,J70
71,1.4,94.465,-41.8,4.865,5228.1,$95k,J71
72,1.4,93.918,-42.7,4.962,5228.1,$35k,J72
73,-1.8,92.893,-46.2,1.291,5099.1,$215k,J73
74,-1.8,92.893,-46.2,1.281,5099.1,$35k,J74
75,1.4,93.444,-36.1,4.966,5228.1,$125k,J75
76,1.4,93.444,-36.1,4.962,5228.1,$145k,J76
77,1.4,94.465,-41.8,4.864,5228.1,$125k,J77
78,1.1,93.994,-36.4,4.855,5191,$45k,J78
79,1.4,94.465,-41.8,4.959,5228.1,$125k,J79
80,1.4,93.444,-36.1,4.966,5228.1,$125k,J80
81,-1.8,93.075,-47.1,1.405,5099.1,$125k,J81
82,1.4,94.465,-41.8,4.961,5228.1,$285k,J82
83,1.4,93.444,-36.1,4.963,5228.1,$185k,J83
84,-1.8,93.075,-47.1,1.365,5099.1,$35k,J84
85,-0.1,93.2,-42,4.076,5195.8,$75k,J85
86,1.1,93.994,-36.4,4.857,5191,$125k,J86
87,-0.1,93.2,-42,4.153,5195.8,$85k,J87
88,1.4,94.465,-41.8,4.961,5228.1,$35k,J88
89,1.4,93.444,-36.1,4.964,5228.1,$215k,J89
90,1.4,93.918,-42.7,4.962,5228.1,$215k,J90
91,1.4,93.918,-42.7,4.96,5228.1,$95k,J91
92,-0.1,93.2,-42,4.153,5195.8,$45k,J92
93,1.4,94.465,-41.8,4.961,5228.1,$35k,J93
94,1.1,93.994,-36.4,4.857,5191,$95k,J94
95,1.4,93.918,-42.7,4.961,5228.1,$215k,J95
96,-0.1,93.2,-42,4.153,5195.8,$145k,J96
97,1.1,93.994,-36.4,4.857,5191,$125k,J97
98,1.1,93.994,-36.4,4.856,5191,$105k,J98
99,1.4,93.918,-42.7,4.961,5228.1,$125k,J99
100,1.4,93.444,-36.1,4.968,5228.1,$185k,J100
101,-1.8,93.075,-47.1,1.405,5099.1,$125k,J101
102,1.4,93.918,-42.7,4.961,5228.1,$165k,J102
103,-1.8,92.893,-46.2,1.266,5099.1,$285k,J103
104,-1.8,92.893,-46.2,1.313,5099.1,$55k,J104
105,-1.8,93.075,-47.1,1.41,5099.1,$185k,J105
106,-1.8,92.893,-46.2,1.25,5099.1,$35k,J106
107,1.1,93.994,-36.4,4.858,5191,$165k,J107
108,1.4,93.918,-42.7,4.966,5228.1,$75k,J108
109,-1.7,94.055,-39.8,0.702,4991.6,$285k,J109
110,-2.9,92.469,-33.6,1.029,5076.2,$35k,J110
111,-2.9,92.469,-33.6,1.085,5076.2,$105k,J111
112,1.4,93.444,-36.1,4.964,5228.1,$285k,J112
113,1.4,94.465,-41.8,4.864,5228.1,$125k,J113
114,-0.1,93.2,-42,4.12,5195.8,$35k,J114
115,1.4,94.465,-41.8,4.961,5228.1,$165k,J115
116,-0.1,93.2,-42,4.153,5195.8,$95k,J116
117,-0.1,93.2,-42,4.076,5195.8,$85k,J117
118,1.1,93.994,-36.4,4.86,5191,$215k,J118
119,1.4,93.918,-42.7,4.962,5228.1,$185k,J119
120,-1.8,92.893,-46.2,1.334,5099.1,$65k,J120
121,1.4,94.465,-41.8,4.959,5228.1,$85k,J121
122,-1.8,92.893,-46.2,1.344,5099.1,$85k,J122
123,1.4,93.918,-42.7,4.963,5228.1,$105k,J123
124,-1.8,92.893,-46.2,1.25,5099.1,$245k,J124
125,1.1,93.994,-36.4,4.855,5191,$105k,J125
126,1.4,93.918,-42.7,4.962,5228.1,$95k,J126
127,-1.8,93.075,-47.1,1.41,5099.1,$35k,J127
128,1.4,93.444,-36.1,4.963,5228.1,$285k,J128
129,-1.8,93.075,-47.1,1.405,5099.1,$185k,J129
130,1.1,93.994,-36.4,4.858,5191,$215k,J130
131,1.4,93.444,-36.1,4.967,5228.1,$285k,J131
132,-1.8,92.893,-46.2,1.327,5099.1,$45k,J132
133,-1.8,93.075,-47.1,1.392,5099.1,$55k,J133
134,1.1,93.994,-36.4,4.858,5191,$95k,J134
135,1.4,93.444,-36.1,4.963,5228.1,$95k,J135
136,-2.9,92.963,-40.8,1.262,5076.2,$285k,J136
137,1.1,93.994,-36.4,4.857,5191,$245k,J137
138,-1.1,94.767,-50.8,1.05,4963.6,$105k,J138
139,1.1,93.994,-36.4,4.856,5191,$95k,J139
140,1.4,94.465,-41.8,4.959,5228.1,$95k,J140
141,1.4,93.918,-42.7,4.961,5228.1,$35k,J141
142,-0.1,93.2,-42,4.153,5195.8,$65k,J142
143,1.4,93.918,-42.7,4.962,5228.1,$55k,J143
144,-2.9,92.201,-31.4,0.851,5076.2,$215k,J144
145,1.1,93.994,-36.4,4.864,5191,$35k,J145
146,-1.8,93.075,-47.1,1.405,5099.1,$65k,J146
147,-0.1,93.2,-42,4.076,5195.8,$165k,J147
148,1.1,93.994,-36.4,4.86,5191,$185k,J148
149,-3.4,92.649,-30.1,0.716,5017.5,$285k,J149
150,1.4,93.444,-36.1,4.965,5228.1,$45k,J150
151,-1.1,94.199,-37.5,0.877,4963.6,$85k,J151
152,1.4,93.918,-42.7,4.96,5228.1,$65k,J152
153,-0.1,93.2,-42,4.12,5195.8,$55k,J153
154,-1.7,94.215,-40.3,0.835,4991.6,$35k,J154
155,1.4,93.444,-36.1,4.965,5228.1,$165k,J155
156,1.4,93.444,-36.1,4.963,5228.1,$215k,J156
157,1.4,93.918,-42.7,4.963,5228.1,$145k,J157
158,1.4,93.444,-36.1,4.968,5228.1,$285k,J158
159,1.4,93.918,-42.7,4.961,5228.1,$45k,J159
160,-1.8,92.893,-46.2,1.281,5099.1,$165k,J160
161,-0.1,93.2,-42,4.076,5195.8,$55k,J161
162,-1.1,94.767,-50.8,1.048,4963.6,$185k,J162
163,-1.8,92.893,-46.2,1.299,5099.1,$185k,J163
164,-1.1,94.767,-50.8,1.048,4963.6,$75k,J164
165,-0.1,93.2,-42,4.191,5195.8,$65k,J165
166,-1.1,94.601,-49.5,1.029,4963.6,$165k,J166
167,-1.8,92.893,-46.2,1.313,5099.1,$215k,J167
168,-1.7,94.027,-38.3,0.904,4991.6,$95k,J168
169,1.1,93.994,-36.4,4.855,5191,$45k,J169
170,1.4,94.465,-41.8,4.864,5228.1,$65k,J170
171,-1.1,94.767,-50.8,1.028,4963.6,$145k,J171
172,1.4,93.444,-36.1,4.965,5228.1,$125k,J172
173,1.4,93.444,-36.1,4.965,5228.1,$95k,J173
174,-1.8,92.893,-46.2,1.299,5099.1,$65k,J174
175,1.1,93.994,-36.4,4.864,5191,$105k,J175
176,1.4,93.444,-36.1,4.964,5228.1,$45k,J176
177,1.1,93.994,-36.4,4.858,5191,$45k,J177
178,1.1,93.994,-36.4,4.857,5191,$85k,J178
179,-1.8,93.369,-34.8,0.637,5008.7,$85k,J179
180,1.4,93.444,-36.1,4.966,5228.1,$145k,J180
181,-2.9,92.963,-40.8,1.26,5076.2,$165k,J181
182,1.1,93.994,-36.4,4.857,5191,$185k,J182
183,1.4,94.465,-41.8,4.959,5228.1,$65k,J183
184,1.1,93.994,-36.4,4.855,5191,$35k,J184
185,-1.8,92.893,-46.2,1.244,5099.1,$45k,J185
186,-1.8,92.893,-46.2,1.327,5099.1,$185k,J186
187,1.4,93.444,-36.1,4.964,5228.1,$85k,J187
188,-1.8,92.893,-46.2,1.354,5099.1,$165k,J188
189,1.4,93.444,-36.1,4.963,5228.1,$285k,J189
190,1.4,93.444,-36.1,4.964,5228.1,$185k,J190
191,-0.1,93.2,-42,4.12,5195.8,$185k,J191
192,1.4,94.465,-41.8,4.959,5228.1,$285k,J192
193,1.4,94.465,-41.8,4.865,5228.1,$215k,J193
194,-0.1,93.2,-42,4.153,5195.8,$215k,J194
